Title,Nb rating,Prices,Nb visits,Rating,Annulation,Duration,Language,City,lat,lon,image
Visite autour du street art et de la culture hipster à Brooklyn,1.0,85.0,4 voyageurs,10.0,Non remboursable. Cette activité n'admet pas d'annulation.,3h30,[2],New York,40.706633,-73.923184,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/arte-callejero-brooklyn.jpg
Visite des lieux incontournables à New York,-1.0,49.0,4 voyageurs,-1.0,Non remboursable. Cette activité n'admet pas d'annulation.,4 heures,[2],New York,40.758696,-73.988747,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/central-park.jpg
Excursion de 2 jours à Washington et Philadelphie,-1.0,102.9,4 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",2 jours,[2],New York,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/filadelfia.jpg
Visite guidée de New York,7.0,354.3,66 voyageurs,6.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",6 heures,[1],New York,40.758709,-73.985228,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/catedral-san-patricio.jpg
Visite de nuit dans New York,6.0,84.1,53 voyageurs,9.7,Non remboursable. Cette activité n'admet pas d'annulation.,4 heures,[1],New York,40.712955,-74.0013617,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/vistas-manhattan-noche.jpg
Dîner-croisière à New York,288.0,51.9,3 723 voyageurs,9.0,Non remboursable. Cette activité n'admet aucune annulation ou modification.,2h30 - 3h,[-1],New York,40.747537,-74.009272,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/crucero-nocturno-manhattan-nueva-york.jpg
Excursion aux Chutes du Niagara,417.0,170.4,5 947 voyageurs,7.7,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",19h - 20h,[1],New York,40.7595892,-73.9846122,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/barco-cataratas-niagara.jpg
Billet pour le Musée de la Ville de New York,-1.0,235.2,62 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",-1,[-1],New York,40.792646,-73.952167,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/disfrutando-exposicion-museo-nueva-york.jpg
Circuit cinéma à travers les scènes de films et de séries,13.0,18.9,134 voyageurs,7.5,Non remboursable. Cette activité n'admet pas d'annulation.,3 heures,[2],New York,40.761939,-73.983476,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/empire-state.jpg
"Visite de Lower East Side, Chinatown et Little Italy",-1.0,57.6,2 voyageurs,-1.0,"Gratuit ! Annulez sans frais jusqu'à 24 heures avant l'activité. Si vous annulez dans un délai moindre ou vous ne vous présentez pas, aucun remboursement ne vous sera proposé.",3h30,[2],New York,40.72361887190441,73.99125536462113,https://cdn2.civitatis.com/estados-unidos/nueva-york/galeria/street-art-lower-east-side.jpg
